Graphics Card,,
Capacity,Name,Price
24 Inch,Samsung LS24B370HS 24 Inch LED Monitor,13510
24 Inch,LG 24MN33S MTV 24 inches LED Monitor,11699
24 Inch,Asus 24 inch VS248H LED Backlit LCD Monitor,13160
27 Inch,Benq GW2760HS 27 inch Monitor,16900
27 Inch,Samsung LS27C750PS-XL 27 inch Monitor,25063
27 Inch,Philips 27 Inch WIDE LED 3D MONITOR,20931
27 Inch,Dell 27 inches U 2711 H Ultra Sharp monitor,71999
27 Inch,HP C4D27A7 Pavilion 27-inch LED Backlit Monitor,21037
Operating System,,
Windows 7,Microsoft Windows 7 Ultimate 32/64 Bit (Full Pack) Operating System,15799
Windows 7,Microsoft Windows 7 Home Premium 32/64 Bit (Full Pack) Operating System,5600
Windows 7,Microsoft Windows 7 Professional 32/64 Bit (Full Pack) Operating System,7995
Windows 7,Microsoft Windows 7 Home Basic (Full Pack) Operating System,5600
Linux/DOS,DOS,0
Linux/DOS,Ubuntu 14.04,0
Linux/DOS,Fedora 21,0
Windows 8,Microsoft Windows 8 Professional 32 Bit Operating System,7995
Windows 8,Microsoft Windows 8 SL Home 64-Bit,5555
Windows 8.1,Microsoft Windows 8.1 Full Version (32/64 bit),7990
Windows 8.1,Microsoft Windows 8.1 Pro (32/64 bit),7851
Windows 8.1,Microsoft Windows 8.1SL Home – 32-Bit,5383
Windows 8.1,Microsoft Windows 8.1 Professional OEM 32 bit,10010
Processor,,
Intel i3,Intel 3.2 GHz LGA 1156 Core i3-550 Processor,6950
Intel i3,Intel 3.3 GHz LGA 1155 Core i3 3220 Processor,6899
Intel i3,Intel 3.4GHz LGA 1150 i3 4130 Processor,7730
Intel i3,Intel 3.5GHz LGA 1150 Core i3 4330 Processor,11499
Intel i5,Intel 3.2 GHz LGA 1150 i5-4460 (BX80646I54460) Processor,13399
Intel i5,Intel 3.3 GHz LGA 1150 Core i5-4590 Processor,15499
Intel i5,Intel 3.4 GHz LGA 1150 4670K i5 4th Generation Processor,17303
Intel i5,Intel 3.5 GHz i5 4690K Processor,17288
Intel i7,Intel 3.2 GHz LGA 2011 Core i7-3930K Processor,42365
Intel i7,Intel 3.3 Ghz LGA 2011 i7-5820K Processor,29700
Intel i7,Intel 3.4 GHz LGA 1150 Core i7-4770 Processor,21520
Intel i7,Intel 3.5 GHz LGA 1155 Core i7 3770K Processor,34999
RAM,,
4GB,Corsair Vengeance DDR3 4 GB (1 x 4 GB) PC DRAM,2920
4GB,Transcend DDR3-1333 DDR3 4 GB (1 x 4 GB) PC DRAM,2295
4GB,EVM DDR3 4 GB (1 x 4 GB) PC DRAM,2599
4GB,HP DDR3 4 GB (1 x 4 GB) PC (B4U36AA) (Green),3090
4GB,Kingston HyperX Blu DDR3 4 GB (1 x 4 GB) PC DRAM,3150
8GB,Corsair Vengeance DDR3 8 GB (1 x 8 GB) PC DRAM,5628
8GB,Kingston HyperX DDR3 8 GB (1 x 8 GB) PC SDRAM,5499
8GB,Transcend JetRam DDR3 8 GB (1 x 8GB) PC DRAM (JM1600KLH-8G),4900
8GB,Corsair Vengeance DDR3 8 GB (2 x 4 GB) PC DRAM,7899
8GB,G.Skill RipjawsX DDR3 8 GB (2 x 4 GB) PC DRAM,7000
16GB,Corsair Vengeance DDR3 16 GB (2 x 8 GB) PC DRAM,14299
16GB,Corsair Vengeance Pro DDR3 16 GB (1 x 16 GB) PC ,15900
16GB,HyperX Predator DDR4 16 GB (1 x 16 GB) PC,29999
16GB,G.Skill TridentX DDR3 16 GB (2 x 8 GB) PC RAM,17699
16GB,G.Skill Ripjaws X DDR3 16 GB (1 X 16 GB) PC,13600
32GB,G.Skill Ripjaws DDR3 32 GB (1 x 32 GB) PC,29500
32GB,Corsair Vengeance DDR3 32 GB (4 x 8 GB) PC DRAM,21996
32GB,Transcend JetRam DDR3 32 GB (4 x 8 GB) PC DRAM (JM1600KLH-8G),19600
32GB,Corsair Vengeance Pro DDR3 32 GB (2 x 16 GB) PC ,31800
32GB,G.Skill Ripjaws X DDR3 32 GB (2 x 16 GB) PC,27200
