Graphics Card,,
Capacity,Name,Price
1GB,Asus NVIDIA GeForce EN210 Silent 1 GB DDR3,2060
1GB, Sapphire AMD/ATI HD 7770 1 GB GDDR5,8400
1GB,Gainward NVIDIA 1GB DDR3 GF210 1 GB DDR3,1819
1GB,ZOTAC NVIDIA GeForce GT210 1 GB DDR3,2020
1GB, Galaxy NVIDIA GeForce 210 1 GB DDR3,1900
2GB,ZOTAC NVIDIA GTX650 Synergy Edition 2 GB,8690
2GB,Sapphire AMD/ATI Radeon Dual-X R9 270X with Boost OC 2GB,14715
2GB,Gainward NVIDIA 2GB DDR3 GT610 2 GB DDR3,3249
2GB,XFX AMD/ATI Radeon HD 5450 2 GB DDR3,2525
2GB,MSI TWIN FROZR GeForce GTX 750Ti/N750Ti TF 2GD5/OC 2GB GDDR5,11950
3GB,Sapphire AMD/ATI HD 7950 3GB GDDR5 With Boost,18240
3GB,ZOTAC NVIDIA GTX 780TI 3 GB DDR5,48990
3GB,Leadtek NVIDIA Quadro K4000 3 GB DDR5,56900
3GB,XFX AMD/ATI R7950 3 GB DDR5,23680
3GB,Galaxy NVIDIA GTX 780 3 GB GDDR5,32200
4GB,ZOTAC NVIDIA GeForce GTX 970 4 GB GDDR5,27240
4GB,Sapphire AMD/ATI Radeon R9 270X with Boost OC 4GB,16999
4GB, Asus NVIDIA Strix GTX 970 4 GB 4 GB GDDR5,29699
4GB,MSI NVIDIA Gtx 970 Gaming 4 GB GDDR5,31000
4GB,Forsa NVIDIA GT630 4 GB DDR3,5600
Hard Drive,,
0250GB,Seagate DB 3.4 250 GB Desktop,1750
0250GB,Seagate 250 GB Desktop,3200
0250GB,Seagate Sata 250 GB Desktop,1825
0250GB,Samsung 840 EVO 250 GB Desktop SSD,9633
0250GB,WD Green Power 250 GB Desktop,1990
0500GB,WD Caviar Blue 500 GB Desktop,3590
0500GB,Seagate Pipeline HD 500 GB,2965
0500GB,Samsung 840 EVO 500 GB SSD,18499
0500GB,Toshiba 500 GB,3300
0500GB,HP SATA 500 GB,3300
1000GB,Seagate Barracuda 1 TB,3922
1000GB,WD Blue WD10EZEX 1 TB,4200
1000GB,Toshiba 1 TB,3699
1000GB,Samsung 840 EVO 1 TB SSD,29398
1000GB,WD 1 TB,5300
2000GB,WD Caviar Green 2 TB,5849
2000GB,Seagate Barracuda 2 TB ,5865
2000GB,WD 2 TB,7500
2000GB,WD 2 TB,6289
2000GB,WD 2 TB Black,10500
Monitor,,
15.6 Inch,AOC 15.6 inch LED Backlit LCD - e1670Swu Monitor,4190
15.6 Inch,Acer P166HQL 15.6 Inch LED Backlit LCD Monitor,4263
15.6 Inch,Acer P166HQL 15.6 Inch LED Backlit LCD Monitor,4343
15.6 Inch,Philips 163V5LSB23 15.6 inch LED Backlit LCD Monitor,4512
15.6 Inch,LG 16EN33S 15.6 Inch LED Backlit LCD Monitor,5699
18.5 Inch,Dell E1914H 18.5 Inch LED Backlit LCD Monitor,4949
18.5 Inch,Samsung LS19D300NY/XL 18.5 inch LED Backlit LCD Monitor,5400
18.5 Inch,LG 19M35A 18.5 Inch LED Backlit LCD Monitor,5410
18.5 Inch,AOC 18.5 inch LED Backlit LCD - e970Swnl Monitor,5094
18.5 Inch,Samsung LS19C170BS/XL 18.5 inch LCD Monitor,5887
21.5 Inch,Dell S2240L 21.5 Inch LED Backlit LCD Monitor,7900
21.5 Inch,Samsung LS22C170BS/XL 21.5 Inch LED Backlit LCD Monitor,7650
21.5 Inch,AOC E2270SWN 21.5 inches Full HD LED Monitor,6877
21.5 Inch,Dell S2240T 21.5 Inch LED Backlit LCD Touchscreen Monitor,15000
21.5 Inch,HP Pavilion 22fi 21.5-inch Diagonal IPS LED Backlit Monitor,8736
24 Inch,Dell E2414H 24 inch Monitor,10399
24 Inch,Dell S2240T 21.5 Inch LED Backlit LCD Touchscreen Monitor,15000
