RAM,Price
4GB,
Corsair Vengeance DDR3 4 GB (1 x 4 GB) PC DRAM ,2920
Transcend DDR3-1333 DDR3 4 GB (1 x 4 GB) PC DRAM,2295
EVM DDR3 4 GB (1 x 4 GB) PC DRAM,2599
HP DDR3 4 GB (1 x 4 GB) PC (B4U36AA) (Green),3090
Kingston HyperX Blu DDR3 4 GB (1 x 4 GB) PC DRAM ,3150
,
8GB,
Corsair Vengeance DDR3 8 GB (1 x 8 GB) PC DRAM,5628
Kingston HyperX DDR3 8 GB (1 x 8 GB) PC SDRAM,5499
Transcend JetRam DDR3 8 GB (1 x 8GB) PC DRAM (JM1600KLH-8G),4900
Corsair Vengeance DDR3 8 GB (2 x 4 GB) PC DRAM,7899
G.Skill RipjawsX DDR3 8 GB (2 x 4 GB) PC DRAM,7000
,
16GB,
Corsair Vengeance DDR3 16 GB (2 x 8 GB) PC DRAM,14299
Corsair Vengeance Pro DDR3 16 GB (1 x 16 GB) PC ,15900
HyperX Predator DDR4 16 GB (1 x 16 GB) PC,29999
G.Skill TridentX DDR3 16 GB (2 x 8 GB) PC RAM,17699
G.Skill Ripjaws X DDR3 16 GB (1 X 16 GB) PC,13600
,
32GB,
G.Skill Ripjaws DDR3 32 GB (1 x 32 GB) PC,29500
Corsair Vengeance DDR3 32 GB (4 x 8 GB) PC DRAM,21996
Transcend JetRam DDR3 32 GB (4 x 8 GB) PC DRAM (JM1600KLH-8G),19600
Corsair Vengeance Pro DDR3 32 GB (2 x 16 GB) PC ,31800
G.Skill Ripjaws X DDR3 32 GB (2 x 16 GB) PC,27200
